"   ","BUSINESS_FLAG","BUSINESS_NAME","BUSINESS_GROUP"
"252","1125","证券账户休眠","Db"
"253","1126","沪港通账户开户","Db"
"254","1127","深港通账户开户","Db"
"255","1129","证券账户迁入","Da"
"256","1130","证券账户迁出","Da"
"257","1140","登记账户开户","Db"
"258","1141","登记账户信息修改","Db"
"259","1142","登记证券账户合并","Db"
"260","1143","登记证券账户保留","Db"
"261","1144","登记账户注销","Db"
"262","1145","登记账户挂失","Db"
"263","1146","登记账户挂失换新号","Db"
"264","1147","登记账户挂失解挂","Db"
"265","1148","上海账户指定交易","Db"
"266","1149","账户撤销指定交易","Db"
"267","1150","账户使用信息注销","Db"
"268","1151","账户使用信息修改","Db"
"269","1152","流通证券冻结","Db"
"270","1153","流通证券解冻","Db"
"271","1154","开通网络服务","Db"
"272","1155","账户使用信息申报","Db"
"273","1156","账户卡补打","Db"
"274","1157","跨市场转登记过出","Db"
"275","1158","跨市场转登记过入","Db"
"276","1159","跨市场转托管过出","Db"
"277","1160","跨市场转托管过入","Db"
"278","1161","预受要约确认","Db"
"279","1162","预受要约解除","Db"
"280","1163","质押券处置申报","Db"
"281","1164","买断式回购不履约申报","Db"
"282","1165","债券登记数据报送","Db"
"283","1166","放弃认购按市值配售新股申报","Db"
"284","1167","帐户变更结算会员撤销","Db"
"285","1168","帐户变更结算会员","Db"
"286","1169","撤销挂失","Db"
"287","1170","登记证券账户合并保留","Db"
"288","1171","休眠账户激活","Db"
"289","1172","休眠账户申报","Db"
"290","1173","休眠账户销户","Db"
"291","1174","休眠账户撤销","Db"
"292","1175","休眠账户销户重开","Db"
"293","1176","登记合伙人信息增加","Db"
"294","1177","登记合伙人信息修改","Db"
"295","1178","登记合伙人信息删除","Db"
"296","1180","深圳创业板信息登记","Db"
"297","1182","自主行权股东名册登记","Db"
"298","1183","自主行权股东名册变更","Db"
"299","1184","自主行权股东名册注销","Db"
"300","1185","中登股东账户开户","Db"
"301","1186","中登股东账户修改","Db"
"302","1187","中登股东账户查询","Db"
"303","1188","中登股东账户销户","Db"
"304","1189","一码通开户","Db"
"305","1190","一码通修改","Db"
"306","1191","一码通查询","Db"
"307","1192","一码通销户","Db"
"308","1193","限制性股票股东名册登记","Db"
"309","1194","限制性股票股东名册修改","Db"
"310","1195","限制性股票股东名册注销","Db"
"311","1196","休眠户激活","Db"
"312","1197","关联关系确认","Db"
"313","1198","关联关系转挂","Db"
"314","1199","关联关系维护","Db"
"315","1201","转账账户开户","Dd"
"316","1202","转账账户销户","Dd"
"317","1203","转账账户修改","Dd"
"318","1205","转账账户冻结","Dd"
"319","1206","转账账户解冻","Dd"
"320","1207","转账账户挂失","Dd"
"321","1208","转账账户解挂","Dd"
"322","1211","存管账户强制开户","Dd"
"323","1212","存管账户强制销户","Dd"
"324","1213","存管账户强制修改","Dd"
"325","1214","期货结算银行账户开户","Dd"
"326","1215","期货结算银行账户销户","Dd"
"327","1216","期货结算银行账户修改","Dd"
"328","1229","银行账户迁入","Da"
"329","1230","银行账户迁出","Da"
"330","1250","存管账户开户","Dd"
"331","1251","存管账户币种开户","Dd"
"332","1252","存管账户信息同步","Dd"
"333","1253","存管账户销户","Dd"
"334","1254","存管账户身份确认","Dd"
"335","1255","存管账户签约开户","Dd"
"336","1256","存管账户银证验证码开户","Db"
"337","1257","存管账户银行账户变更","Dd"
